Country,Category,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Matches
Algeria,all_competitions,Ramy Bensebaini,DF,31-059,1.8,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Nabil Bentaleb,MF,31-202,1.5,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Hicham Boudaoui,MF,26-264,1.2,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Rafik Belghali,DF,24-007,2.1,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Fares Chaïbi,MF,23-198,1.9,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Melvin Mastil,GK,26-115,1.5,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Nadhir Benbouali,FW,26-058,1.3,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Yassine Titraoui,MF,22-323,1.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Oussama Benbot,GK,31-246,0.5,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Samir Chergui,DF,27-128,0.5,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Adil Boulbina,FW,23-043,1.1,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Mohamed Amine Tougai,DF,26-143,1.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Anis Hadj Moussa,"FW,MF",24-123,1.0,2,,,,,,,,0,0,Matches
Algeria,all_competitions,Jaouen Hadjam,DF,23-080,1.0,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Mehdi Dorval,"DF,MF",25-125,0.3,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Farés Ghedjemis,"FW,MF",23-281,0.3,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Adil Aouchiche,MF,23-334,0.2,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Amin Chiakha,FW,20-094,0.2,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Squad Total,,27.0,4.0,12,,,,,,,,1,1,
Algeria,all_competitions,Opponent Total,,26.6,4.0,0,,,,,,,,0,0,
Algeria,all_competitions,Aïssa Mandi,DF,34-235,11.1,2,,,,,,,,0,0,Matches
Algeria,all_competitions,Mohamed Amoura,FW,26-036,10.5,10,,,,,,,,2,2,Matches
Algeria,all_competitions,Amine Gouiri,"FW,MF",26-118,8.6,5,,,,,,,,0,0,Matches
Algeria,all_competitions,Ramy Bensebaini,DF,31-059,7.8,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Riyad Mahrez,"FW,MF",35-113,7.7,2,,,,,,,,1,1,Matches
Algeria,all_competitions,Hicham Boudaoui,MF,26-264,7.7,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Rayan Aït-Nouri,DF,25-008,7.7,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Fares Chaïbi,MF,23-198,6.9,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Nabil Bentaleb,MF,31-202,6.1,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Youcef Atal,DF,30-028,5.9,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Mohamed Amine Tougai,DF,26-143,5.9,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Ramiz Zerrouki,MF,28-019,5.3,1,,,,,,,,0,0,Matches
