Country,Category,Player,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches,Playing Time_MP
Czechia,world_cup,Vladimír Darida,MF,35-310,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Czechia,world_cup,David Doudera,"DF,MF",28-014,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Czechia,world_cup,Tomáš Holeš,"DF,MF",33-075,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Czechia,world_cup,Lukáš Horníček,GK,23-336,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Czechia,world_cup,David Jurásek,"DF,MF",25-311,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Czechia,world_cup,Jan Kuchta,FW,29-157,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Czechia,world_cup,Hugo Sochůrek,MF,18-007,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Czechia,world_cup,Jindřich Staněk,GK,30-048,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Czechia,world_cup,Denis Višinský,"FW,MF",23-085,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Czechia,world_cup,David Zima,DF,25-218,0.0,,,,,0,,0,0,,1,,,,,,,Matches,
Czechia,world_cup,Squad Total,,28.2,1.0,90.0,90.0,100.0,1.0,11,82.0,7,4,22.0,11,0.0,1.0,2.0,-1.0,-1.0,,,
Czechia,world_cup,Opponent Total,,28.7,1.0,90.0,90.0,100.0,1.0,11,82.0,6,5,17.0,10,3.0,2.0,1.0,1.0,1.0,,,
Haiti,world_cup,Ricardo Adé,DF,36-024,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,Matches,
Haiti,world_cup,Carlens Arcus,DF,29-351,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,Matches,
Haiti,world_cup,Jean-Ricner Bellegarde,MF,27-352,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,Matches,
Haiti,world_cup,Hannes Delcroix,DF,27-106,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,Matches,
Haiti,world_cup,Martin Expérience,DF,27-097,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,Matches,
Haiti,world_cup,Danley Jean-Jacques,MF,26-025,1.0,90.0,90.0,100.0,1.0,1,90.0,1,0,,0,0.0,0.0,1.0,-1.0,-1.0,,Matches,
