Country,Category,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Last 5,Notes
Türkiye,world_cup,1,br Brazil,1,0,1,0,1.0,1.0,0.0,1,,
Türkiye,world_cup,2,qa Qatar,1,0,1,0,1.0,1.0,0.0,1,,
Türkiye,world_cup,3,cz Czechia,1,0,0,1,1.0,2.0,-1.0,0,,
Türkiye,world_cup,4,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,,
Türkiye,world_cup,5,at Austria,0,0,0,0,,,,0,,
Türkiye,world_cup,6,cd Congo DR,0,0,0,0,,,,0,,
Türkiye,world_cup,7,de Germany,0,0,0,0,,,,0,,
Türkiye,world_cup,8,gh Ghana,0,0,0,0,,,,0,,
Türkiye,world_cup,9,ir IR Iran,0,0,0,0,,,,0,,
Türkiye,world_cup,10,no Norway,0,0,0,0,,,,0,,
Türkiye,world_cup,11,se Sweden,0,0,0,0,,,,0,,
Türkiye,world_cup,12,uy Uruguay,0,0,0,0,,,,0,,
Türkiye,world_cup,1,us United States,1,1,0,0,4.0,1.0,3.0,3,L L W L W,
Türkiye,world_cup,2,au Australia,1,1,0,0,2.0,0.0,2.0,3,L L L D W,
Türkiye,world_cup,3,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,W W W W L,
Türkiye,world_cup,4,py Paraguay,1,0,0,1,1.0,4.0,-3.0,0,W W L W L,
United States,world_cup,1,us United States,1,1,0,0,4.0,1.0,3.0,3,L L W L W,
United States,world_cup,2,au Australia,1,1,0,0,2.0,0.0,2.0,3,L L L D W,
United States,world_cup,3,tr Türkiye,1,0,0,1,0.0,2.0,-2.0,0,W W W W L,
