Player,MarketValue_EUR
Erling Haaland,€200.00m
Torbjørn Heggem,€13.00m
Sondre Langås,€4.00m
David Møller Wolfe,€8.00m
Antonio Nusa,€32.00m
Ørjan Nyland,€800k
Marcus Pedersen,€3.50m
Jens Petter Hauge,€12.00m
Julian Ryerson,€25.00m
Andreas Schjelderup,€30.00m
Egil Selvik,€1.50m
Jørgen Strand Larsen,€40.00m
Alexander Sørloth,€18.00m
Sander Tangvik,€3.00m
Morten Thorsby,€2.80m
Kristian Thorstvedt,€12.00m
Martin Ødegaard,€65.00m
Leo Østigård,€13.00m
Michael Amir Murillo,€7.00m
Andrés Andrade Cedeño,Unknown
Yoel Bárcenas,€650k
César Blackman,€2.50m
Adalberto Carrasquilla,€4.00m
José Córdoba,€5.00m
Erick Davis,-
Ismael Díaz,€1.80m
Fidel Escobar,€350k
José Fajardo,€550k
Edgardo Fariña,€900k
Aníbal Godoy,€100k
Jorge Gutiérrez,-
Carlos Harvey,€600k
Azarías Londoño,€1.00m
José Luis Rodríguez,-
Cristian Martínez,-
Luis Mejía,€150k
Roderick Miller,€175k
Orlando Mosquera,€700k
Alberto Quintero,-
Jiovany Ramos,€450k
Tomás Rodríguez,€1.00m
César Samudio,€250k
Cecilio Waterman,€250k
César Yanis,€400k
Omar Alderete,€13.00m
Miguel Almirón,€7.00m
Júnior Alonso,€1.50m
Álex Arce,€3.50m
Gabriel Ávalos,€750k
Fabián Balbuena,€900k
Damián Bobadilla,€6.00m
Gustavo Caballero,€1.00m
Juan Cáceres,€5.00m
José Canale,€2.20m
Andrés Cubas,€4.50m
Julio Enciso,€25.00m
Gatito Fernández,€100k
Matías Galarza,€5.50m
Orlando Gill,€6.00m
Diego Gómez,€25.00m
Gustavo Gómez,€3.50m
Kaku,€6.00m
Alexandro Maidana,€2.50m
Mauricio,€50k
Braian Ojeda,€3.50m
Gastón Olveira,€500k
Isidro Pitta,€7.50m
Antonio Sanabria,€1.80m
Ramón Sosa,€10.00m
Gustavo Velásquez,-
Tomás Araújo,€30.00m
João Cancelo,€8.00m
Francisco Conceição,€30.00m
Diogo Costa,€40.00m
Samu Costa,€15.00m
Diogo Dalot,€30.00m
Rúben Dias,€55.00m
João Félix,€28.00m
Bruno Fernandes,€35.00m
Gonçalo Guedes,€6.00m
Gonçalo Inácio,€40.00m
