Year,Stage,Country1,Country2,Score1,Score2,Venue,City
1986,group stage,Italy,Argentina,1,1,Estadio Cuauhtémoc,Puebla
1986,group stage,France,Soviet Union,1,1,Estadio Nou Camp,León
1986,group stage,South Korea,Bulgaria,1,1,Estadio Olímpico Universitario,Mexico City
1986,group stage,Hungary,Canada,2,0,Estadio Sergio León Chavez,Irapuato
1986,group stage,Brazil,Algeria,1,0,Estadio Jalisco,Guadalajara
1986,group stage,England,Morocco,0,0,Estadio Tecnológico,Monterrey
1986,group stage,Mexico,Paraguay,1,1,Estadio Azteca,Mexico City
1986,group stage,Northern Ireland,Spain,1,2,Estadio Tres de Marzo,Guadalajara
1986,group stage,Poland,Portugal,1,0,Estadio Universitario,Monterrey
1986,group stage,Iraq,Belgium,1,2,La Bombonera,Toluca
1986,group stage,West Germany,Scotland,2,1,Estadio La Corregidora,Querétaro
1986,group stage,Denmark,Uruguay,6,1,Estadio Neza 86,Nezahualcóyotl
1986,group stage,Hungary,France,0,3,Estadio Nou Camp,León
1986,group stage,Soviet Union,Canada,2,0,Estadio Sergio León Chavez,Irapuato
1986,group stage,Argentina,Bulgaria,2,0,Estadio Olímpico Universitario,Mexico City
1986,group stage,South Korea,Italy,2,3,Estadio Cuauhtémoc,Puebla
1986,group stage,Iraq,Mexico,0,1,Estadio Azteca,Mexico City
1986,group stage,Paraguay,Belgium,2,2,La Bombonera,Toluca
1986,group stage,England,Poland,3,0,Estadio Universitario,Monterrey
1986,group stage,Portugal,Morocco,1,3,Estadio Tres de Marzo,Guadalajara
1986,group stage,Algeria,Spain,0,3,Estadio Tecnológico,Monterrey
1986,group stage,Northern Ireland,Brazil,0,3,Estadio Jalisco,Guadalajara
1986,group stage,Denmark,West Germany,2,0,Estadio La Corregidora,Querétaro
1986,group stage,Scotland,Uruguay,0,0,Estadio Neza 86,Nezahualcóyotl
1986,round of 16,Mexico,Bulgaria,2,0,Estadio Azteca,Mexico City
1986,round of 16,Soviet Union,Belgium,3,4,Estadio Nou Camp,León
1986,round of 16,Brazil,Poland,4,0,Estadio Jalisco,Guadalajara
1986,round of 16,Argentina,Uruguay,1,0,Estadio Cuauhtémoc,Puebla
1986,round of 16,Italy,France,0,2,Estadio Olímpico Universitario,Mexico City
1986,round of 16,Morocco,West Germany,0,1,Estadio Universitario,Monterrey
1986,round of 16,England,Paraguay,3,0,Estadio Azteca,Mexico City
1986,round of 16,Denmark,Spain,1,5,Estadio La Corregidora,Querétaro
1986,quarter-finals,Brazil,France,1,1,Estadio Jalisco,Guadalajara
1986,quarter-finals,West Germany,Mexico,0,0,Estadio Universitario,Monterrey
1986,quarter-finals,Argentina,England,2,1,Estadio Azteca,Mexico City
1986,quarter-finals,Spain,Belgium,1,1,Estadio Cuauhtémoc,Puebla
1986,semi-finals,France,West Germany,0,2,Estadio Jalisco,Guadalajara
1986,semi-finals,Argentina,Belgium,2,0,Estadio Azteca,Mexico City
1986,third-place match,Belgium,France,2,4,Estadio Cuauhtémoc,Puebla
1986,final,Argentina,West Germany,3,2,Estadio Azteca,Mexico City
1990,group stage,Argentina,Cameroon,0,1,San Siro,Milan
1990,group stage,Soviet Union,Romania,0,2,Stadio San Nicola,Bari
1990,group stage,United Arab Emirates,Colombia,0,2,Stadio Renato Dall'Ara,Bologna
1990,group stage,Italy,Austria,1,0,Stadio Olimpico,Rome
1990,group stage,United States,Czechoslovakia,1,5,Stadio Comunale,Florence
1990,group stage,Brazil,Sweden,2,1,Stadio delle Alpi,Turin
1990,group stage,West Germany,Yugoslavia,4,1,San Siro,Milan
1990,group stage,Costa Rica,Scotland,1,0,Stadio Luigi Ferraris,Genoa
1990,group stage,England,Republic of Ireland,1,1,Stadio Sant'Elia,Cagliari
1990,group stage,Belgium,South Korea,2,0,Stadio Marc'Antonio Bentegodi,Verona
1990,group stage,Netherlands,Egypt,1,1,Stadio La Favorita,Palermo
1990,group stage,Uruguay,Spain,0,0,Stadio Friuli,Udine
1990,group stage,Argentina,Soviet Union,2,0,Stadio San Paolo,Naples
1990,group stage,Cameroon,Romania,2,1,Stadio San Nicola,Bari
1990,group stage,Yugoslavia,Colombia,1,0,Stadio Renato Dall'Ara,Bologna
1990,group stage,Italy,United States,1,0,Stadio Olimpico,Rome
1990,group stage,Austria,Czechoslovakia,0,1,Stadio Comunale,Florence
1990,group stage,West Germany,United Arab Emirates,5,1,San Siro,Milan
1990,group stage,Brazil,Costa Rica,1,0,Stadio delle Alpi,Turin
1990,group stage,Sweden,Scotland,1,2,Stadio Luigi Ferraris,Genoa
1990,group stage,England,Netherlands,0,0,Stadio Sant'Elia,Cagliari
1990,group stage,Republic of Ireland,Egypt,0,0,Stadio La Favorita,Palermo
1990,group stage,Belgium,Uruguay,3,1,Stadio Marc'Antonio Bentegodi,Verona
1990,group stage,South Korea,Spain,1,3,Stadio Friuli,Udine
1990,group stage,Argentina,Romania,1,1,Stadio San Paolo,Naples
1990,group stage,Cameroon,Soviet Union,0,4,Stadio San Nicola,Bari
1990,group stage,West Germany,Colombia,1,1,San Siro,Milan
1990,group stage,Yugoslavia,United Arab Emirates,4,1,Stadio Renato Dall'Ara,Bologna
1990,group stage,Austria,United States,2,1,Stadio Comunale,Florence
1990,group stage,Italy,Czechoslovakia,2,0,Stadio Olimpico,Rome
1990,group stage,Brazil,Scotland,1,0,Stadio delle Alpi,Turin
1990,group stage,Sweden,Costa Rica,1,2,Stadio Luigi Ferraris,Genoa
1990,group stage,Belgium,Spain,1,2,Stadio Marc'Antonio Bentegodi,Verona
1990,group stage,South Korea,Uruguay,0,1,Stadio Friuli,Udine
1990,group stage,England,Egypt,1,0,Stadio Sant'Elia,Cagliari
1990,group stage,Republic of Ireland,Netherlands,1,1,Stadio La Favorita,Palermo
1990,round of 16,Cameroon,Colombia,2,1,Stadio San Paolo,Naples
1990,round of 16,Czechoslovakia,Costa Rica,4,1,Stadio San Nicola,Bari
1990,round of 16,Brazil,Argentina,0,1,Stadio delle Alpi,Turin
1990,round of 16,West Germany,Netherlands,2,1,San Siro,Milan
1990,round of 16,Republic of Ireland,Romania,0,0,Stadio Luigi Ferraris,Genoa
1990,round of 16,Italy,Uruguay,2,0,Stadio Olimpico,Rome
1990,round of 16,Spain,Yugoslavia,1,2,Stadio Marc'Antonio Bentegodi,Verona
1990,round of 16,England,Belgium,1,0,Stadio Renato Dall'Ara,Bologna
1990,quarter-finals,Argentina,Yugoslavia,0,0,Stadio Comunale,Florence
1990,quarter-finals,Republic of Ireland,Italy,0,1,Stadio Olimpico,Rome
1990,quarter-finals,Czechoslovakia,West Germany,0,1,San Siro,Milan
1990,quarter-finals,Cameroon,England,2,3,Stadio San Paolo,Naples
1990,semi-finals,Argentina,Italy,1,1,Stadio San Paolo,Naples
1990,semi-finals,West Germany,England,1,1,Stadio delle Alpi,Turin
1990,third-place match,Italy,England,2,1,Stadio San Nicola,Bari
1990,final,West Germany,Argentina,1,0,Stadio Olimpico,Rome
1991,group stage,China,Norway,4,0,Tainhe Stadium,Guangzhou
1991,group stage,Germany,Nigeria,4,0,Jiangmen Stadium,Jiangmen
1991,group stage,Denmark,New Zealand,3,0,Tainhe Stadium,Guangzhou
1991,group stage,Japan,Brazil,0,1,New Plaza Stadium,Foshan
1991,group stage,Sweden,United States,2,3,Ying Tung Stadium,Guangzhou
1991,group stage,Chinese Taipei,Italy,0,5,Jiangmen Stadium,Jiangmen
1991,group stage,Norway,New Zealand,4,0,Gaungdong Provincial Stadium,Guangzhou
1991,group stage,Italy,Nigeria,1,0,Zhongshan Stadium,Zhongshan
1991,group stage,China,Denmark,2,2,Gaungdong Provincial Stadium,Guangzhou
1991,group stage,Brazil,United States,0,5,Ying Tung Stadium,Guangzhou
1991,group stage,Japan,Sweden,0,8,New Plaza Stadium,Foshan
1991,group stage,Chinese Taipei,Germany,0,3,Zhongshan Stadium,Zhongshan
1991,group stage,Brazil,Sweden,0,2,Ying Tung Stadium,Guangzhou
1991,group stage,Japan,United States,0,3,New Plaza Stadium,Foshan
1991,group stage,China,New Zealand,4,1,New Plaza Stadium,Foshan
1991,group stage,Norway,Denmark,2,1,New Plaza Stadium,Foshan
1991,group stage,Chinese Taipei,Nigeria,2,0,Jiangmen Stadium,Jiangmen
1991,group stage,Italy,Germany,0,2,Zhongshan Stadium,Zhongshan
1991,quarter-final,Denmark,Germany,1,2,Zhongshan Stadium,Zhongshan
1991,quarter-final,China,Sweden,0,1,Tianhe Stadium,Guangzhou
1991,quarter-final,Norway,Italy,3,2,Jiangmen Stadium,Jiangmen
1991,quarter-final,United States,Chinese Taipei,7,0,New Plaza Stadium,Foshan
1991,semi-final,Sweden,Norway,1,4,Ying Tung Stadium,Guangzhou
1991,semi-final,Germany,United States,2,5,Guangdong Provincial Stadium,Guangzhou
1991,third-place match,Sweden,Germany,4,0,Gaungdong Provincial Stadium,Guangzhou
1991,final,Norway,United States,1,2,Tianhe Stadium,Guangzhou
1994,group stage,Germany,Bolivia,1,0,Soldier Field,Chicago
1994,group stage,Spain,South Korea,2,2,Cotton Bowl,Dallas
1994,group stage,United States,Switzerland,1,1,Pontiac Silverdome,Pontiac
1994,group stage,Italy,Republic of Ireland,0,1,Giants Stadium,East Rutherford
1994,group stage,Colombia,Romania,1,3,Rose Bowl,Pasadena
1994,group stage,Belgium,Morocco,1,0,Citrus Bowl,Orlando
1994,group stage,Norway,Mexico,1,0,RFK Stadium,"Washington, D.C."
1994,group stage,Cameroon,Sweden,2,2,Rose Bowl,Pasadena
1994,group stage,Brazil,Russia,2,0,Stanford Stadium,Stanford
1994,group stage,Netherlands,Saudi Arabia,2,1,RFK Stadium,"Washington, D.C."
1994,group stage,Argentina,Greece,4,0,Foxboro Stadium,Foxborough
1994,group stage,Germany,Spain,1,1,Soldier Field,Chicago
1994,group stage,Nigeria,Bulgaria,3,0,Cotton Bowl,Dallas
1994,group stage,Romania,Switzerland,1,4,Pontiac Silverdome,Pontiac
1994,group stage,United States,Colombia,2,1,Rose Bowl,Pasadena
1994,group stage,Italy,Norway,1,0,Giants Stadium,East Rutherford
1994,group stage,South Korea,Bolivia,0,0,Foxboro Stadium,Foxborough
1994,group stage,Mexico,Republic of Ireland,2,1,Citrus Bowl,Orlando
1994,group stage,Brazil,Cameroon,3,0,Stanford Stadium,Stanford
1994,group stage,Sweden,Russia,3,1,Pontiac Silverdome,Pontiac
1994,group stage,Belgium,Netherlands,1,0,Citrus Bowl,Orlando
1994,group stage,Saudi Arabia,Morocco,2,1,Giants Stadium,East Rutherford
1994,group stage,Argentina,Nigeria,2,1,Foxboro Stadium,Foxborough
1994,group stage,Bulgaria,Greece,4,0,Soldier Field,Chicago
1994,group stage,Switzerland,Colombia,0,2,Stanford Stadium,Stanford
1994,group stage,United States,Romania,0,1,Rose Bowl,Pasadena
1994,group stage,Bolivia,Spain,1,3,Soldier Field,Chicago
1994,group stage,Germany,South Korea,3,2,Cotton Bowl,Dallas
1994,group stage,Italy,Mexico,1,1,RFK Stadium,"Washington, D.C."
1994,group stage,Republic of Ireland,Norway,0,0,Giants Stadium,East Rutherford
1994,group stage,Russia,Cameroon,6,1,Stanford Stadium,Stanford
1994,group stage,Brazil,Sweden,1,1,Pontiac Silverdome,Pontiac
1994,group stage,Belgium,Saudi Arabia,0,1,RFK Stadium,"Washington, D.C."
1994,group stage,Morocco,Netherlands,1,2,Citrus Bowl,Orlando
1994,group stage,Argentina,Bulgaria,0,2,Cotton Bowl,Dallas
1994,group stage,Greece,Nigeria,0,2,Foxboro Stadium,Foxborough
1994,round of 16,Germany,Belgium,3,2,Soldier Field,Chicago
1994,round of 16,Spain,Switzerland,3,0,RFK Stadium,"Washington, D.C."
1994,round of 16,Saudi Arabia,Sweden,1,3,Cotton Bowl,Dallas
1994,round of 16,Romania,Argentina,3,2,Rose Bowl,Pasadena
1994,round of 16,Netherlands,Republic of Ireland,2,0,Citrus Bowl,Orlando
1994,round of 16,Brazil,United States,1,0,Stanford Stadium,Stanford
1994,round of 16,Nigeria,Italy,1,2,Foxboro Stadium,Foxborough
1994,round of 16,Mexico,Bulgaria,1,1,Giants Stadium,East Rutherford
1994,quarter-finals,Italy,Spain,2,1,Foxboro Stadium,Foxborough
1994,quarter-finals,Netherlands,Brazil,2,3,Cotton Bowl,Dallas
1994,quarter-finals,Bulgaria,Germany,2,1,Giants Stadium,East Rutherford
1994,quarter-finals,Romania,Sweden,2,2,Stanford Stadium,Stanford
1994,semi-finals,Bulgaria,Italy,1,2,Giants Stadium,East Rutherford
1994,semi-finals,Sweden,Brazil,0,1,Rose Bowl,Pasadena
1994,third-place match,Sweden,Bulgaria,4,0,Rose Bowl,Pasadena
1994,final,Brazil,Italy,0,0,Rose Bowl,Pasadena
1995,group stage,Germany,Japan,1,0,Tingvalla IP,Karlstad
1995,group stage,Sweden,Brazil,0,1,Olympia,Helsingborg
1995,group stage,England,Canada,3,2,Olympia,Helsingborg
1995,group stage,Norway,Nigeria,8,0,Tingvalla IP,Karlstad
1995,group stage,Denmark,Australia,5,0,Arosvallen,Västerås
1995,group stage,United States,China,3,3,Strömvallen,Gävle
1995,group stage,Brazil,Japan,1,2,Tingvalla IP,Karlstad
1995,group stage,Sweden,Germany,3,2,Olympia,Helsingborg
1995,group stage,Nigeria,Canada,3,3,Olympia,Helsingborg
1995,group stage,Norway,England,2,0,Tingvalla IP,Karlstad
1995,group stage,China,Australia,4,2,Arosvallen,Västerås
1995,group stage,United States,Denmark,2,0,Strömvallen,Gävle
1995,group stage,Brazil,Germany,1,6,Tingvalla IP,Karlstad
1995,group stage,Sweden,Japan,2,0,Arosvallen,Västerås
1995,group stage,Nigeria,England,2,3,Tingvalla IP,Karlstad
1995,group stage,Norway,Canada,7,0,Strömvallen,Gävle
1995,group stage,China,Denmark,3,1,Arosvallen,Västerås
1995,group stage,United States,Australia,4,1,Olympia,Helsingborg
1995,quarter-final,Japan,United States,0,4,Strömvallen,Gävle
1995,quarter-final,Norway,Denmark,3,1,Tingvalla IP,Karlstad
1995,quarter-final,Germany,England,3,0,Arosvallen,Västerås
1995,quarter-final,Sweden,China,1,1,Olympia,Helsingborg
1995,semi-final,United States,Norway,0,1,Arosvallen,Västerås
1995,semi-final,Germany,China,1,0,Olympia,Helsingborg
1995,third-place match,China,United States,0,2,Strömvallen,Gävle
1995,final,Germany,Norway,0,2,Råsunda Stadium,Solna
1998,group stage,Brazil,Scotland,2,1,Stade de France,Saint-Denis
1998,group stage,Morocco,Norway,2,2,Stade de la Mosson,Montpellier
1998,group stage,Italy,Chile,2,2,Stade du Parc Lescure,Bordeaux
1998,group stage,Cameroon,Austria,1,1,Stade de Toulouse,Toulouse
1998,group stage,Paraguay,Bulgaria,0,0,Stade de la Mosson,Montpellier
1998,group stage,Saudi Arabia,Denmark,0,1,Stade Félix-Bollaert,Lens
1998,group stage,France,South Africa,3,0,Stade Vélodrome,Marseille
1998,group stage,Spain,Nigeria,2,3,Stade de la Beaujoire,Nantes
1998,group stage,South Korea,Mexico,1,3,Stade de Gerland,Lyon
1998,group stage,Netherlands,Belgium,0,0,Stade de France,Saint-Denis
1998,group stage,Argentina,Japan,1,0,Stade de Toulouse,Toulouse
1998,group stage,Yugoslavia,Iran,1,0,Stade Geoffroy-Guichard,Saint-Étienne
1998,group stage,Jamaica,Croatia,1,3,Stade Félix-Bollaert,Lens
1998,group stage,England,Tunisia,2,0,Stade Vélodrome,Marseille
1998,group stage,Romania,Colombia,1,0,Stade de Gerland,Lyon
1998,group stage,Germany,United States,2,0,Parc des Princes,Paris
1998,group stage,Scotland,Norway,1,1,Stade du Parc Lescure,Bordeaux
1998,group stage,Brazil,Morocco,3,0,Stade de la Beaujoire,Nantes
1998,group stage,Chile,Austria,1,1,Stade Geoffroy-Guichard,Saint-Étienne
1998,group stage,Italy,Cameroon,3,0,Stade de la Mosson,Montpellier
1998,group stage,South Africa,Denmark,1,1,Stade de Toulouse,Toulouse
1998,group stage,France,Saudi Arabia,4,0,Stade de France,Saint-Denis
1998,group stage,Nigeria,Bulgaria,1,0,Parc des Princes,Paris
1998,group stage,Spain,Paraguay,0,0,Stade Geoffroy-Guichard,Saint-Étienne
1998,group stage,Japan,Croatia,0,1,Stade de la Beaujoire,Nantes
1998,group stage,Belgium,Mexico,2,2,Stade du Parc Lescure,Bordeaux
1998,group stage,Netherlands,South Korea,5,0,Stade Vélodrome,Marseille
1998,group stage,Germany,Yugoslavia,2,2,Stade Félix-Bollaert,Lens
1998,group stage,Argentina,Jamaica,5,0,Parc des Princes,Paris
1998,group stage,United States,Iran,1,2,Stade de Gerland,Lyon
1998,group stage,Colombia,Tunisia,1,0,Stade de la Mosson,Montpellier
1998,group stage,Romania,England,2,1,Stade de Toulouse,Toulouse
1998,group stage,Chile,Cameroon,1,1,Stade de la Beaujoire,Nantes
1998,group stage,Italy,Austria,2,1,Stade de France,Saint-Denis
1998,group stage,Brazil,Norway,1,2,Stade Vélodrome,Marseille
1998,group stage,Scotland,Morocco,0,3,Stade Geoffroy-Guichard,Saint-Étienne
1998,group stage,France,Denmark,2,1,Stade de Gerland,Lyon
1998,group stage,South Africa,Saudi Arabia,2,2,Stade du Parc Lescure,Bordeaux
1998,group stage,Nigeria,Paraguay,1,3,Stade de Toulouse,Toulouse
1998,group stage,Spain,Bulgaria,6,1,Stade Félix-Bollaert,Lens
1998,group stage,Belgium,South Korea,1,1,Parc des Princes,Paris
1998,group stage,Netherlands,Mexico,2,2,Stade Geoffroy-Guichard,Saint-Étienne
1998,group stage,Germany,Iran,2,0,Stade de la Mosson,Montpellier
1998,group stage,United States,Yugoslavia,0,1,Stade de la Beaujoire,Nantes
1998,group stage,Argentina,Croatia,1,0,Stade du Parc Lescure,Bordeaux
1998,group stage,Japan,Jamaica,1,2,Stade de Gerland,Lyon
1998,group stage,Colombia,England,0,2,Stade Félix-Bollaert,Lens
1998,group stage,Romania,Tunisia,1,1,Stade de France,Saint-Denis
1998,round of 16,Italy,Norway,1,0,Stade Vélodrome,Marseille
1998,round of 16,Brazil,Chile,4,1,Parc des Princes,Paris
1998,round of 16,France,Paraguay,1,0,Stade Félix-Bollaert,Lens
1998,round of 16,Nigeria,Denmark,1,4,Stade de France,Saint-Denis
1998,round of 16,Germany,Mexico,2,1,Stade de la Mosson,Montpellier
1998,round of 16,Netherlands,Yugoslavia,2,1,Stade de Toulouse,Toulouse
1998,round of 16,Romania,Croatia,0,1,Stade du Parc Lescure,Bordeaux
1998,round of 16,Argentina,England,2,2,Stade Geoffroy-Guichard,Saint-Étienne
1998,quarter-finals,Italy,France,0,0,Stade de France,Saint-Denis
1998,quarter-finals,Brazil,Denmark,3,2,Stade de la Beaujoire,Nantes
1998,quarter-finals,Netherlands,Argentina,2,1,Stade Vélodrome,Marseille
1998,quarter-finals,Germany,Croatia,0,3,Stade de Gerland,Lyon
1998,semi-finals,Brazil,Netherlands,1,1,Stade Vélodrome,Marseille
1998,semi-finals,France,Croatia,2,1,Stade de France,Saint-Denis
1998,third-place match,Netherlands,Croatia,1,2,Parc des Princes,Paris
1998,final,Brazil,France,0,3,Stade de France,Saint-Denis
1999,group stage,United States,Denmark,3,0,Giants Stadium,New York City
1999,group stage,China,Sweden,2,1,Spartan Stadium,San Jose
1999,group stage,Brazil,Mexico,7,1,Giants Stadium,New York City
1999,group stage,Japan,Canada,1,1,Spartan Stadium,San Jose
1999,group stage,Germany,Italy,1,1,Rose Bowl,Los Angeles
1999,group stage,Norway,Russia,2,1,Foxboro Stadium,Boston
1999,group stage,North Korea,Nigeria,1,2,Rose Bowl,Los Angeles
1999,group stage,Australia,Ghana,1,1,Foxboro Stadium,Boston
1999,group stage,Japan,Russia,0,5,Civic Stadium,Portland
1999,group stage,Norway,Canada,7,1,Jack Kent Cooke Stadium,"Washington, D.C."
1999,group stage,Australia,Sweden,1,3,Jack Kent Cooke Stadium,"Washington, D.C."
1999,group stage,China,Ghana,7,0,Civic Stadium,Portland
1999,group stage,Brazil,Italy,2,0,Soldier Field,Chicago
1999,group stage,North Korea,Denmark,3,1,Civic Stadium,Portland
1999,group stage,United States,Nigeria,7,1,Soldier Field,Chicago
1999,group stage,Germany,Mexico,6,0,Civic Stadium,Portland
1999,group stage,Canada,Russia,1,4,Giants Stadium,New York City
1999,group stage,China,Australia,3,1,Giants Stadium,New York City
1999,group stage,Ghana,Sweden,0,2,Soldier Field,Chicago
1999,group stage,Norway,Japan,4,0,Soldier Field,Chicago
1999,group stage,Germany,Brazil,3,3,Jack Kent Cooke Stadium,"Washington, D.C."
1999,group stage,Nigeria,Denmark,2,0,Jack Kent Cooke Stadium,"Washington, D.C."
1999,group stage,Mexico,Italy,0,2,Foxboro Stadium,Boston
1999,group stage,United States,North Korea,3,0,Foxboro Stadium,Boston
1999,quarter-final,China,Russia,2,0,Spartan Stadium,San Jose
1999,quarter-final,Norway,Sweden,3,1,Spartan Stadium,San Jose
1999,quarter-final,United States,Germany,3,2,Jack Kent Cooke Stadium,"Washington, D.C."
1999,quarter-final,Brazil,Nigeria,4,3,Jack Kent Cooke Stadium,"Washington, D.C."
1999,semi-final,United States,Brazil,2,0,Stanford Stadium,San Fransisco
1999,semi-final,Norway,China,0,5,Foxboro Stadium,Boston
1999,third-place match,Brazil,Norway,0,0,Rose Bowl,Los Angeles
1999,final,United States,China,0,0,Rose Bowl,Los Angeles
2002,group stage,France,Senegal,0,1,Seoul World Cup Stadium,Seoul
2002,group stage,Republic of Ireland,Cameroon,1,1,Niigata Stadium,Niigata
2002,group stage,Uruguay,Denmark,1,2,Ulsan Munsu Football Stadium,Ulsan
2002,group stage,Germany,Saudi Arabia,8,0,Sapporo Dome,Sapporo
2002,group stage,Argentina,Nigeria,1,0,Kashima Stadium,Ibaraki
2002,group stage,Paraguay,South Africa,2,2,Busan Asiad Stadium,Busan
2002,group stage,England,Sweden,1,1,Saitama Stadium,Saitama
2002,group stage,Spain,Slovenia,3,1,Gwangju World Cup Stadium,Gwangju
2002,group stage,Croatia,Mexico,0,1,Niigata Stadium,Niigata
2002,group stage,Brazil,Turkey,2,1,Ulsan Munsu Football Stadium,Ulsan
2002,group stage,Italy,Ecuador,2,0,Sapporo Dome,Sapporo
2002,group stage,China,Costa Rica,0,2,Gwangju World Cup Stadium,Gwangju
2002,group stage,Japan,Belgium,2,2,Saitama Stadium,Saitama
2002,group stage,South Korea,Poland,2,0,Busan Asiad Stadium,Busan
2002,group stage,Russia,Tunisia,2,0,Kobe Wing Stadium,Kobe
2002,group stage,United States,Portugal,3,2,Suwon World Cup Stadium,Suwon
2002,group stage,Germany,Republic of Ireland,1,1,Kashima Stadium,Ibaraki
2002,group stage,Denmark,Senegal,1,1,Daegu World Cup Stadium,Daegu
2002,group stage,Cameroon,Saudi Arabia,1,0,Saitama Stadium,Saitama
2002,group stage,France,Uruguay,0,0,Busan Asiad Stadium,Busan
2002,group stage,Sweden,Nigeria,2,1,Kobe Wing Stadium,Kobe
2002,group stage,Spain,Paraguay,3,1,Jeonju World Cup Stadium,Jeonju
2002,group stage,Argentina,England,0,1,Sapporo Dome,Sapporo
2002,group stage,South Africa,Slovenia,1,0,Daegu World Cup Stadium,Daegu
2002,group stage,Italy,Croatia,1,2,Kashima Stadium,Ibaraki
2002,group stage,Brazil,China,4,0,Jeju World Cup Stadium,Seogwipo
2002,group stage,Mexico,Ecuador,2,1,Miyagi Stadium,Miyagi
2002,group stage,Costa Rica,Turkey,1,1,Incheon Munhak Stadium,Incheon
2002,group stage,Japan,Russia,1,0,International Stadium Yokohama,Yokohama
2002,group stage,South Korea,United States,1,1,Daegu World Cup Stadium,Daegu
2002,group stage,Tunisia,Belgium,1,1,Ōita Stadium,Ōita
2002,group stage,Portugal,Poland,4,0,Jeonju World Cup Stadium,Jeonju
2002,group stage,Denmark,France,2,0,Incheon Munhak Stadium,Incheon
2002,group stage,Senegal,Uruguay,3,3,Suwon World Cup Stadium,Suwon
2002,group stage,Cameroon,Germany,0,2,Shizuoka Stadium ECOPA,Shizuoka
2002,group stage,Saudi Arabia,Republic of Ireland,0,3,International Stadium Yokohama,Yokohama
2002,group stage,Nigeria,England,0,0,Nagai Stadium,Osaka
2002,group stage,Sweden,Argentina,1,1,Miyagi Stadium,Miyagi
2002,group stage,Slovenia,Paraguay,1,3,Jeju World Cup Stadium,Seogwipo
2002,group stage,South Africa,Spain,2,3,Daejeon World Cup Stadium,Daejeon
2002,group stage,Costa Rica,Brazil,2,5,Suwon World Cup Stadium,Suwon
2002,group stage,Turkey,China,3,0,Seoul World Cup Stadium,Seoul
2002,group stage,Ecuador,Croatia,1,0,International Stadium Yokohama,Yokohama
2002,group stage,Mexico,Italy,1,1,Ōita Stadium,Ōita
2002,group stage,Belgium,Russia,3,2,Shizuoka Stadium ECOPA,Shizuoka
2002,group stage,Tunisia,Japan,0,2,Nagai Stadium,Osaka
2002,group stage,Poland,United States,3,1,Daejeon World Cup Stadium,Daejeon
2002,group stage,Portugal,South Korea,0,1,Incheon Munhak Stadium,Incheon
2002,round of 16,Germany,Paraguay,1,0,Jeju World Cup Stadium,Seogwipo
2002,round of 16,Denmark,England,0,3,Niigata Stadium,Niigata
2002,round of 16,Sweden,Senegal,1,2,Ōita Stadium,Ōita
2002,round of 16,Spain,Republic of Ireland,1,1,Suwon World Cup Stadium,Suwon
2002,round of 16,Mexico,United States,0,2,Jeonju World Cup Stadium,Jeonju
2002,round of 16,Brazil,Belgium,2,0,Kobe Wing Stadium,Kobe
2002,round of 16,Japan,Turkey,0,1,Miyagi Stadium,Miyagi
2002,round of 16,South Korea,Italy,2,1,Daejeon World Cup Stadium,Daejeon
2002,quarter-finals,England,Brazil,1,2,Shizuoka Stadium ECOPA,Shizuoka
2002,quarter-finals,Germany,United States,1,0,Ulsan Munsu Football Stadium,Ulsan
2002,quarter-finals,Spain,South Korea,0,0,Gwangju World Cup Stadium,Gwangju
2002,quarter-finals,Senegal,Turkey,0,1,Nagai Stadium,Osaka
2002,semi-finals,Germany,South Korea,1,0,Seoul World Cup Stadium,Seoul
2002,semi-finals,Brazil,Turkey,1,0,Saitama Stadium,Saitama
2002,third-place match,South Korea,Turkey,2,3,Daegu World Cup Stadium,Daegu
2002,final,Germany,Brazil,0,2,International Stadium Yokohama,Yokohama
2003,group stage,Norway,France,2,0,Lincoln Financial Field,Philadelphia
2003,group stage,Nigeria,North Korea,0,3,Lincoln Financial Field,Philadelphia
2003,group stage,Germany,Canada,4,1,Columbus Crew Stadium,Columbus
2003,group stage,Japan,Argentina,6,0,Columbus Crew Stadium,Columbus
2003,group stage,United States,Sweden,3,1,RFK Stadium,"Washington, D.C."
2003,group stage,Brazil,South Korea,3,0,RFK Stadium,"Washington, D.C."
2003,group stage,Australia,Russia,1,2,Home Depot Center,Carson
2003,group stage,China,Ghana,1,0,Home Depot Center,Carson
2003,group stage,Norway,Brazil,1,4,RFK Stadium,"Washington, D.C."
2003,group stage,Germany,Japan,3,0,Columbus Crew Stadium,Columbus
