Country,Category,Player,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Matches
Mexico,all_competitions,Opponent Total,,26.0,5.0,5.0,450,5.0,9.0,1.8,,,,0.0,2.0,3.0,1,20.0,0,0,0,0,,
Mexico,all_competitions,Raúl Rangel,GK,26-109,6.0,6.0,450,5.0,2.0,0.4,2.0,2.0,100.0,4.0,2.0,0.0,4,66.7,0,0,0,0,,Matches
Mexico,all_competitions,Carlos Acevedo,GK,30-056,1.0,0.0,45,0.5,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,,Matches
Mexico,all_competitions,Guillermo Ochoa,GK,40-336,1.0,0.0,45,0.5,0.0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,,Matches
Morocco,all_competitions,Yassine Bounou,GK,35-070,1.0,1.0,90,1.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0,0.0,0,0,0,0,,Matches
Morocco,all_competitions,Squad Total,,25.8,1.0,1.0,90,1.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0,0.0,0,0,0,0,,
Morocco,all_competitions,Opponent Total,,29.8,1.0,1.0,90,1.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0,0.0,0,0,0,0,,
Morocco,all_competitions,Yassine Bounou,GK,34.0,8.0,8.0,720,8.0,2.0,0.25,,,,8.0,0.0,0.0,6,75.0,0,0,0,0,,Matches
Morocco,all_competitions,Squad Total,,28.3,8.0,8.0,720,8.0,2.0,0.25,,,,8.0,0.0,0.0,6,75.0,0,0,0,0,,
Morocco,all_competitions,Opponent Total,,27.4,8.0,8.0,720,8.0,22.0,2.75,,,,0.0,0.0,8.0,0,0.0,3,2,0,1,0.0,
Morocco,all_competitions,Yassine Bounou,GK,35-070,3.0,3.0,270,3.0,3.0,1.0,,,,1.0,2.0,0.0,0,0.0,0,0,0,0,,Matches
Morocco,all_competitions,Munir,GK,37-035,1.0,1.0,90,1.0,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,,Matches
Morocco,all_competitions,Squad Total,,26.7,4.0,4.0,360,4.0,3.0,0.75,,,,2.0,2.0,0.0,1,25.0,0,0,0,0,,
Morocco,all_competitions,Opponent Total,,28.0,4.0,4.0,360,4.0,8.0,2.0,,,,0.0,2.0,2.0,0,0.0,2,1,1,0,50.0,
Morocco,all_competitions,Yassine Bounou,GK,35-070,12.0,12.0,"1,080",12.0,6.0,0.5,5.0,4.0,80.0,9.0,3.0,0.0,6,50.0,0,0,0,0,,Matches
Morocco,all_competitions,Munir,GK,37-035,1.0,1.0,90,1.0,0.0,0.0,,,,1.0,0.0,0.0,1,100.0,0,0,0,0,,Matches
Netherlands,all_competitions,Bart Verbruggen,GK,23-300,3.0,3.0,201,2.2,1.0,0.45,,,,2.0,0.0,1.0,0,0.0,0,0,0,0,,Matches
Netherlands,all_competitions,Mark Flekken,GK,33-001,2.0,1.0,114,1.3,2.0,1.58,,,,0.0,1.0,0.0,0,0.0,1,1,0,0,0.0,Matches
Netherlands,all_competitions,Robin Roefs,GK,23-148,1.0,0.0,45,0.5,1.0,2.0,,,,0.0,0.0,0.0,0,,0,0,0,0,,Matches
Netherlands,all_competitions,Squad Total,,27.5,4.0,4.0,360,4.0,4.0,1.0,,,,2.0,1.0,1.0,0,0.0,1,1,0,0,0.0,
Netherlands,all_competitions,Opponent Total,,27.5,4.0,4.0,360,4.0,5.0,1.25,,,,1.0,1.0,2.0,1,25.0,2,2,0,0,0.0,
Netherlands,all_competitions,Bart Verbruggen,GK,23.0,6.0,6.0,540,6.0,4.0,0.67,14.0,10.0,71.4,4.0,2.0,0.0,3,50.0,0,0,0,0,,Matches
Netherlands,all_competitions,Mark Flekken,GK,32.0,2.0,2.0,180,2.0,0.0,0.0,4.0,4.0,100.0,2.0,0.0,0.0,2,100.0,0,0,0,0,,Matches
Netherlands,all_competitions,Squad Total,,27.9,8.0,8.0,720,8.0,4.0,0.5,18.0,14.0,77.8,6.0,2.0,0.0,5,62.5,0,0,0,0,,
Netherlands,all_competitions,Opponent Total,,28.2,8.0,8.0,720,8.0,27.0,3.38,47.0,25.0,53.2,0.0,2.0,6.0,0,0.0,5,5,0,0,0.0,
Netherlands,all_competitions,Bart Verbruggen,GK,23-300,9.0,9.0,741,8.2,5.0,0.61,14.0,10.0,71.4,6.0,2.0,1.0,3,33.3,0,0,0,0,,Matches
