Country,Player,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
United States,Matt Freese,GK,27.78028747433265,1.0,0,0,0,0,0,0,0,0,0,,,0
United States,Weston McKennie,MF,27.79397672826831,1.0,0,0,0,0,0,0,3,0,0,,,0
United States,Tim Ream,DF,38.68993839835729,1.0,0,0,0,0,0,0,0,1,1,,,0
United States,Chris Richards,DF,26.213552361396303,1.0,0,0,0,3,1,0,0,1,1,,,0
United States,Antonee Robinson,DF,28.84873374401095,1.0,0,0,0,1,0,0,7,0,0,,,0
United States,Malik Tillman,MF,24.046543463381244,0.9,0,0,0,1,4,0,1,1,0,,,0
United States,Folarin Balogun,FW,24.947296372347708,0.8,0,0,0,0,4,2,0,0,0,,,0
United States,Sergiño Dest,MF,25.61054072553046,0.8,0,0,0,0,0,0,2,2,0,,,0
United States,Christian Pulisic,MF,27.736481861738536,0.5,0,0,0,1,1,0,2,0,1,,,0
United States,Sebastian Berhalter,MF,25.095824777549623,0.5,0,0,0,0,1,0,1,1,0,,,0
United States,Ricardo Pepi,FW,23.427104722792606,0.2,0,0,0,1,0,0,0,0,0,,,0
United States,Timothy Weah,"DF,FW",26.306639288158795,0.2,0,0,0,2,0,0,0,0,0,,,0
United States,Gio Reyna,MF,23.583162217659137,0.1,0,0,0,1,2,0,0,0,0,,,0
