player,position,age,mp,starts,minutes,gls,ast,crdY,crdR,team,archivo_origen,number,club,birth_date,min,city_id,latitude,longitude,altitude_meters,id,team_name,league,matches_played,shots,goals,xg_for,fifa_code,iso2_code,city_name,country,venue_name,region_cluster,airport_code,match_number,home_team_id,away_team_id,stage_id,kickoff_at,match_label,birth_place,stadium_id,stadium_name,filename,group_letter,is_placeholder,nationality_name,nation_team_id,stage_name,stage_order,group,rank,w,d,l,gf,ga,gd,pts,last_5,team_code
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,12.0,Bologna,Serie A,38.0,144.0,47.0,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,13.0,Bournemouth,Premier League,38.0,178.0,57.0,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,14.0,Brentford,Premier League,38.0,147.0,53.0,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,15.0,Brest,Ligue 1,34.0,120.0,42.0,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,16.0,Brighton,Premier League,38.0,176.0,51.0,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,17.0,Burnley,Premier League,38.0,118.0,35.0,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,18.0,Cagliari,Serie A,38.0,132.0,40.0,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,19.0,Celta Vigo,La Liga,38.0,153.0,52.0,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,20.0,Chelsea,Premier League,38.0,166.0,57.0,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,21.0,Como,Serie A,38.0,194.0,64.0,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,22.0,Cremonese,Serie A,38.0,125.0,32.0,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,23.0,Crystal Palace,Premier League,38.0,141.0,40.0,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,24.0,Dortmund,Bundesliga,34.0,163.0,69.0,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,25.0,Eintracht Frankfurt,Bundesliga,34.0,157.0,61.0,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,26.0,Elche,La Liga,38.0,145.0,47.0,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,27.0,Espanyol,La Liga,38.0,158.0,42.0,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,28.0,Everton,Premier League,38.0,142.0,45.0,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,29.0,Fiorentina,Serie A,38.0,131.0,40.0,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,30.0,Freiburg,Bundesliga,34.0,143.0,49.0,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,31.0,Fulham,Premier League,38.0,138.0,43.0,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,32.0,Genoa,Serie A,38.0,143.0,41.0,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
